"module name","licenses"
"@lukeed/csprng@1.1.0","MIT"
"@nestjs/axios@0.0.8","MIT"
"@nestjs/common@8.4.7","MIT"
"@nestjs/common@9.3.11","MIT"
"@nestjs/core@9.3.11","MIT"
"@nuxtjs/opencollective@0.3.2","MIT"
"@openapitools/openapi-generator-cli@2.6.0","Apache-2.0"
"ansi-escapes@4.3.2","MIT"
"ansi-regex@5.0.1","MIT"
"ansi-styles@4.3.0","MIT"
"asynckit@0.4.0","MIT"
"axios@0.27.2","MIT"
"balanced-match@1.0.2","MIT"
"base64-js@1.5.1","MIT"
"bl@4.1.0","MIT"
"brace-expansion@1.1.11","MIT"
"buffer@5.7.1","MIT"
"chalk@4.1.2","MIT"
"chardet@0.7.0","MIT"
"cli-cursor@3.1.0","MIT"
"cli-spinners@2.8.0","MIT"
"cli-width@3.0.0","ISC"
"cliui@7.0.4","ISC"
"clone@1.0.4","MIT"
"color-convert@2.0.1","MIT"
"color-name@1.1.4","MIT"
"combined-stream@1.0.8","MIT"
"commander@8.3.0","MIT"
"compare-versions@4.1.4","MIT"
"concat-map@0.0.1","MIT"
"concurrently@6.5.1","MIT"
"consola@2.15.3","MIT"
"console.table@0.10.0","MIT"
"date-fns@2.28.0","MIT"
"defaults@1.0.3","MIT"
"delayed-stream@1.0.0","MIT"
"easy-table@1.1.0","MIT"
"emoji-regex@8.0.0","MIT"
"escalade@3.1.1","MIT"
"escape-string-regexp@1.0.5","MIT"
"external-editor@3.1.0","MIT"
"fast-safe-stringify@2.1.1","MIT"
"figures@3.2.0","MIT"
"follow-redirects@1.15.2","MIT"
"form-data@4.0.0","MIT"
"fs-extra@10.1.0","MIT"
"fs.realpath@1.0.0","ISC"
"get-caller-file@2.0.5","ISC"
"glob@7.1.6","ISC"
"graceful-fs@4.2.9","ISC"
"has-flag@4.0.0","MIT"
"iconv-lite@0.4.24","MIT"
"ieee754@1.2.1","BSD-3-Clause"
"inflight@1.0.6","ISC"
"inherits@2.0.4","ISC"
"inquirer@8.2.5","MIT"
"is-fullwidth-code-point@3.0.0","MIT"
"is-interactive@1.0.0","MIT"
"is-unicode-supported@0.1.0","MIT"
"iterare@1.2.1","ISC"
"jsonfile@6.1.0","MIT"
"lodash@4.17.21","MIT"
"log-symbols@4.1.0","MIT"
"mime-db@1.52.0","MIT"
"mime-types@2.1.35","MIT"
"mimic-fn@2.1.0","MIT"
"minimatch@3.0.5","ISC"
"mute-stream@0.0.8","ISC"
"node-fetch@2.6.9","MIT"
"once@1.4.0","ISC"
"onetime@5.1.2","MIT"
"ora@5.4.1","MIT"
"os-tmpdir@1.0.2","MIT"
"path-is-absolute@1.0.1","MIT"
"path-to-regexp@3.2.0","MIT"
"readable-stream@3.6.2","MIT"
"reflect-metadata@0.1.13","Apache-2.0"
"require-directory@2.1.1","MIT"
"restore-cursor@3.1.0","MIT"
"run-async@2.4.1","MIT"
"rxjs@6.6.7","Apache-2.0"
"rxjs@7.8.0","Apache-2.0"
"safe-buffer@5.2.1","MIT"
"safer-buffer@2.1.2","MIT"
"signal-exit@3.0.7","ISC"
"spawn-command@0.0.2-1","MIT"
"string-width@4.2.3","MIT"
"string_decoder@1.3.0","MIT"
"strip-ansi@6.0.1","MIT"
"supports-color@7.2.0","MIT"
"supports-color@8.1.1","MIT"
"through@2.3.8","MIT"
"tmp@0.0.33","MIT"
"tr46@0.0.3","MIT"
"tree-kill@1.2.2","MIT"
"tslib@1.14.1","0BSD"
"tslib@2.0.3","0BSD"
"tslib@2.4.0","0BSD"
"tslib@2.5.0","0BSD"
"type-fest@0.21.3","(MIT OR CC0-1.0)"
"uid@2.0.1","MIT"
"universalify@2.0.0","MIT"
"util-deprecate@1.0.2","MIT"
"uuid@8.3.2","MIT"
"wcwidth@1.0.1","MIT"
"webidl-conversions@3.0.1","BSD-2-Clause"
"whatwg-url@5.0.0","MIT"
"wrap-ansi@7.0.0","MIT"
"wrappy@1.0.2","ISC"
"y18n@5.0.8","ISC"
"yargs-parser@20.2.9","ISC"
"yargs@16.2.0","MIT"

"github.com/aws/aws-sdk-go","Apache-2.0"
"github.com/jmespath/go-jmespath","Unknown"
"github.com/blang/semver","MIT"
"github.com/cespare/xxhash/v2","MIT"
"github.com/dgraph-io/ristretto","Apache-2.0"
"github.com/dgraph-io/ristretto/z","MIT"
"github.com/dustin/go-humanize","MIT"
"github.com/pkg/errors","BSD-2-Clause"
"golang.org/x/sys/unix","BSD-3-Clause"
"github.com/dlclark/regexp2","MIT"
"github.com/ghodss/yaml","MIT"
"github.com/ghodss/yaml","BSD-3-Clause"
"gopkg.in/yaml.v2","Apache-2.0"
"github.com/go-openapi/errors","Apache-2.0"
"github.com/asaskevich/govalidator","MIT"
"github.com/go-openapi/errors","Apache-2.0"
"github.com/go-openapi/runtime","Apache-2.0"
"github.com/go-openapi/strfmt","Apache-2.0"
"github.com/go-openapi/swag","Apache-2.0"
"github.com/josharian/intern","MIT"
"github.com/mailru/easyjson","MIT"
"github.com/mitchellh/mapstructure","MIT"
"github.com/oklog/ulid","Apache-2.0"
"go.mongodb.org/mongo-driver","Apache-2.0"
"gopkg.in/yaml.v3","MIT"
"github.com/asaskevich/govalidator","MIT"
"github.com/go-openapi/errors","Apache-2.0"
"github.com/go-openapi/strfmt","Apache-2.0"
"github.com/mitchellh/mapstructure","MIT"
"github.com/oklog/ulid","Apache-2.0"
"go.mongodb.org/mongo-driver","Apache-2.0"
"github.com/go-openapi/swag","Apache-2.0"
"github.com/josharian/intern","MIT"
"github.com/mailru/easyjson","MIT"
"gopkg.in/yaml.v3","MIT"
"github.com/asaskevich/govalidator","MIT"
"github.com/go-openapi/analysis","Apache-2.0"
"github.com/go-openapi/errors","Apache-2.0"
"github.com/go-openapi/jsonpointer","Apache-2.0"
"github.com/go-openapi/jsonreference","Apache-2.0"
"github.com/go-openapi/loads","Apache-2.0"
"github.com/go-openapi/spec","Apache-2.0"
"github.com/go-openapi/strfmt","Apache-2.0"
"github.com/go-openapi/swag","Apache-2.0"
"github.com/go-openapi/validate","Apache-2.0"
"github.com/josharian/intern","MIT"
"github.com/mailru/easyjson","MIT"
"github.com/mitchellh/mapstructure","MIT"
"github.com/oklog/ulid","Apache-2.0"
"go.mongodb.org/mongo-driver","Apache-2.0"
"gopkg.in/yaml.v3","MIT"
"filippo.io/edwards25519","BSD-3-Clause"
"github.com/go-sql-driver/mysql","MPL-2.0"
"github.com/go-swagger/go-swagger","Apache-2.0"
"github.com/gobuffalo/httptest","MIT"
"github.com/gobuffalo/httptest/internal/takeon/github.com/ajg/form","BSD-3-Clause"
"github.com/gobuffalo/httptest/internal/takeon/github.com/markbates/hmax","MIT"
"github.com/gobwas/glob","MIT"
"github.com/google/uuid","BSD-3-Clause"
"github.com/hashicorp/go-cleanhttp","MPL-2.0"
"github.com/hashicorp/go-retryablehttp","MPL-2.0"
"github.com/julienschmidt/httprouter","BSD-3-Clause"
"github.com/lib/pq","MIT"
"github.com/mitchellh/copystructure","MIT"
"github.com/mitchellh/reflectwalk","MIT"
"github.com/asaskevich/govalidator","MIT"
"github.com/cenkalti/backoff/v4","MIT"
"github.com/cespare/xxhash/v2","MIT"
"github.com/dgraph-io/ristretto","Apache-2.0"
